,Survived,PassengerId,Pclass,Is female,Age,SibSp,Parch,Fare,Embarked_C,Embarked_Q,Embarked_S,SOTON ticket,STON ticket,C.A. ticket,PC ticket,Undefined ticket,Other tickets
0,0,530,2,0,23.0,2,1,11.5,0,0,1,0,0,0,0,1,0
1,0,466,3,0,38.0,0,0,7.05,0,0,1,1,0,0,0,0,0
2,0,753,3,0,33.0,0,0,9.5,0,0,1,0,0,0,0,1,0
3,0,855,2,1,44.0,1,0,26.0,0,0,1,0,0,0,0,1,0
4,0,333,1,0,38.0,0,1,153.4625,0,0,1,0,0,0,1,0,0
5,0,39,3,1,18.0,2,0,18.0,0,0,1,0,0,0,0,1,0
7,0,303,3,0,19.0,0,0,0.0,0,0,1,0,0,0,0,0,1
9,1,505,1,1,16.0,0,0,86.5,0,0,1,0,0,0,0,1,0
11,1,316,3,1,26.0,0,0,7.8542,0,0,1,0,0,0,0,1,0
12,1,690,1,1,15.0,0,1,211.3375,0,0,1,0,0,0,0,1,0
13,1,718,2,1,27.0,0,0,10.5,0,0,1,0,0,0,0,1,0
14,1,580,3,0,32.0,0,0,7.925,0,0,1,0,1,0,0,0,0
15,0,697,3,0,44.0,0,0,8.05,0,0,1,0,0,0,0,1,0
16,1,193,3,1,19.0,1,0,7.8542,0,0,1,0,0,0,0,1,0
18,1,858,1,0,51.0,0,0,26.55,0,0,1,0,0,0,0,1,0
19,1,329,3,1,31.0,1,1,20.525,0,0,1,0,0,0,0,1,0
21,0,407,3,0,51.0,0,0,7.75,0,0,1,0,0,0,0,1,0
22,0,747,3,0,16.0,1,1,20.25,0,0,1,0,0,1,0,0,0
23,0,492,3,0,21.0,0,0,7.25,0,0,1,1,0,0,0,0,0
25,0,862,2,0,21.0,1,0,11.5,0,0,1,0,0,0,0,1,0
26,0,724,2,0,50.0,0,0,13.0,0,0,1,0,0,0,0,1,0
27,0,685,2,0,60.0,1,1,39.0,0,0,1,0,0,0,0,1,0
28,0,344,2,0,25.0,0,0,13.0,0,0,1,0,0,0,0,1,0
29,1,751,2,1,4.0,1,1,23.0,0,0,1,0,0,0,0,1,0
30,0,734,2,0,23.0,0,0,13.0,0,0,1,0,0,0,0,1,0
33,0,516,1,0,47.0,0,0,34.0208,0,0,1,0,0,0,0,1,0
34,0,282,3,0,28.0,0,0,7.8542,0,0,1,0,0,0,0,1,0
35,0,218,2,0,42.0,1,0,27.0,0,0,1,0,0,0,0,1,0
36,1,107,3,1,21.0,0,0,7.65,0,0,1,0,0,0,0,1,0
37,0,878,3,0,19.0,0,0,7.8958,0,0,1,0,0,0,0,1,0
