cena	Powierzchnia w m2	Liczba pokoi	Liczba pięter w budynku	Piętro
290386	46	2	5	parter
450000	59	2	3	2
375000	79	3	16	5
400000	63	3	2	2
389285	59	3	13	12
539000	90	4	1	1
380931	66	3	3	3
225000	32	1	NaN	2
235582	38	2	7	3
664443	68	3	5	3
263581	43	2	8	1
304920	46	2	4	1
1100000	185	5	NaN	1
450000	64	3	4	2
690000	165	5	2	NaN
410665	71	3	15	2
370000	73	4	4	parter
319875	51	2	15	8
430000	70	2	1	NaN
259000	48	4	4	4
290000	42	2	3	1
0	33	2	5	5
690000	203	5	2	NaN
599000	70	2	5	1
499000	88	4	3	3
270449	41	2	7	parter
311356	31	1	5	2
310707	45	2	4	3
435000	59	2	6	4
385000	51	2	4	1
410780	71	3	15	3
480000	62	3	1	parter
372025	60	3	15	2
798000	295	6	2	NaN
331945	53	2	5	2
359000	84	4	1	parter
500000	170	5	3	NaN
395609	59	3	4	1
354967	51	3	4	1
595001	170	6	2	NaN
385000	66	2	16	16
455348	56	2	4	parter
429000	79	3	5	4
276528	47	2	4	parter
1050000	228	4	2	NaN
278000	44	2	5	4
299000	46	2	15	12
615000	70	3	5	3
270500	41	2	7	parter
319875	51	2	15	7
285000	42	2	6	3
274458	45	2	5	2
380900	67	3	3	3
330000	62	3	2	parter
302887	49	2	7	4
240000	37	2	10	6
249000	38	2	10	6
753360	87	4	5	3
330000	44	2	5	5
325440	67	3	2	parter
0	36	2	5	parter
393120	55	2	5	3
464940	57	3	2	1
204450	43	2	5	3
219000	33	1	4	4
799000	118	4	4	parter
325000	65	3	1	parter
262000	44	2	10	2
185232	36	2	5	parter
299000	45	2	3	1
235000	30	2	4	3
318645	51	2	5	2
368568	68	3	4	4
569000	118	4	4	parter
199000	28	1	NaN	NaN
1350000	230	5	1	NaN
349332	54	3	NaN	parter
335343	71	2	6	parter
469000	70	2	4	2
285000	52	2	4	2
220000	48	2	4	1
320311	54	3	5	1
595000	95	4	8	5
245000	38	2	4	4
265000	38	2	4	poddasze
278000	50	2	10	5
290387	26	1	5	2
341704	56	3	15	9
343400	68	2	3	1
1115000	171	5	4	4
1199000	282	8	4	3
175000	38	1	3	1
420000	77	2	4	2
371337	59	3	15	9
277425	40	2	5	1
367000	52	2	2	parter
1200000	150	5	2	NaN
397350	44	2	5	2
319000	62	3	2	parter
980000	300	7	3	NaN
263018	39	2	5	4
336500	54	2	2	parter
259178	46	2	5	2
307499	48	2	15	11
590000	145	6	2	NaN
337467	54	3	15	2
313170	56	3	5	4
1250000	370	7	2	NaN
495000	65	3	5	2
295555	45	2	5	1
368568	68	3	4	4
499000	140	4	2	NaN
279548	41	2	5	parter
690000	225	5	1	NaN
395609	59	3	4	1
324686	55	2	15	4
217686	29	2	5	1
550000	71	3	5	parter
217042	29	1	5	4
399000	61	3	4	1
299000	48	3	4	4
368712	56	2	6	1
0	55	2	7	1
302176	45	2	4	2
265000	48	2	4	poddasze
240796	32	1	5	5
259930	47	2	4	parter
369000	73	3	4	3
354000	62	2	2	1
305000	47	3	4	2
559000	135	4	2	NaN
200000	27	1	12	3
407100	44	2	6	3
301206	48	2	15	7
277425	40	2	5	1
243306	38	2	7	6
278502	48	3	5	2
425000	57	3	3	1
760000	270	6	2	NaN
1100000	171	5	4	1
326625	48	2	5	parter
510984	70	3	5	2
920000	177	5	4	2
638175	85	4	4	3
295000	92	4	2	NaN
560000	84	3	4	1
237412	38	2	5	4
265000	55	3	4	4
750000	132	3	5	4
225000	49	3	11	9
239000	38	2	4	4
619000	48	2	16	11
